UID,주거 형태,연간 소득,현재 직장 근속 연수,체납 세금 압류 횟수,개설된 신용계좌 수,신용 거래 연수,최대 신용한도,신용 문제 발생 횟수,마지막 연체 이후 경과 개월 수,개인 파산 횟수,대출 목적,대출 상환 기간,현재 대출 잔액,현재 미상환 신용액,월 상환 부채액,신용 점수,채무 불이행 여부
TRAIN_00000,자가,1941337.5,10년 이상,0.0,9,13.4,400597.5,0,24,1,부채 통합,단기 상환,390903.0,225457.5,8806.5,767,0
TRAIN_00001,월세,1979505.0,10년 이상,0.0,5,15.1,360679.5,0,11,0,부채 통합,단기 상환,1002184.5,64749.0,24961.5,767,0
TRAIN_00002,월세,1356381.0,4년,0.0,12,18.8,491770.5,1,74,3,부채 통합,단기 상환,227775.0,487644.0,12069.0,800,1
TRAIN_00003,월세,1049017.5,6년,0.0,15,14.8,411546.0,1,22,1,부채 통합,단기 상환,251383.5,413211.0,31749.0,796,1
TRAIN_00004,월세,4320217.5,2년,0.0,11,26.1,895288.5,0,32,0,부채 통합,장기 상환,1163176.5,78991.5,5862.0,751,0
TRAIN_00005,주택 담보 대출 (거주 중),5395734.0,10년 이상,1.0,12,35.6,1297161.0,2,33,0,부채 통합,단기 상환,562845.0,545880.0,23272.5,691,1
TRAIN_00006,자가,1601410.5,8년,0.0,17,32.6,1174611.0,1,74,3,부채 통합,단기 상환,252634.5,235188.0,3751.5,795,1
TRAIN_00007,주택 담보 대출 (거주 중),1410700.5,2년,0.0,8,24.4,692352.0,0,19,0,자동차 구매,장기 상환,479349.0,154974.0,16842.0,807,0
TRAIN_00008,주택 담보 대출 (거주 중),1636863.0,3년,0.0,9,9.8,154429.5,0,11,0,기타,단기 상환,370210.5,11943.0,28818.0,713,1
TRAIN_00009,자가,1644226.5,2년,0.0,6,12.7,511518.0,0,29,0,부채 통합,단기 상환,187140.0,122344.5,5214.0,793,0
TRAIN_00010,자가,2993922.0,5년,0.0,5,19.5,0.0,0,70,0,기타,단기 상환,230776.5,47728.5,11479.5,756,0
TRAIN_00011,월세,922128.0,10년 이상,0.0,10,12.0,501057.0,0,35,0,부채 통합,단기 상환,437772.0,224521.5,9145.5,787,0
TRAIN_00012,주택 담보 대출 (거주 중),604522.5,9년,0.0,14,14.9,749731.5,1,42,1,부채 통합,장기 상환,274624.5,179104.5,11394.0,762,1
TRAIN_00013,주택 담보 대출 (거주 중),4910103.0,10년 이상,0.0,13,33.9,4898010.0,0,34,0,부채 통합,단기 상환,1127766.0,869257.5,109195.5,751,1
TRAIN_00014,월세,1871350.5,8년,0.0,14,15.4,814137.0,1,29,3,부채 통합,단기 상환,472837.5,544896.0,18771.0,725,1
TRAIN_00015,월세,1652191.5,10년 이상,0.0,16,12.6,672975.0,0,41,0,부채 통합,단기 상환,402087.0,397474.5,16758.0,749,1
TRAIN_00016,월세,2142808.5,10년 이상,0.0,14,17.0,460338.0,0,62,1,부채 통합,단기 상환,345036.0,154639.5,12793.5,800,0
TRAIN_00017,월세,1493856.0,10년 이상,0.0,10,16.9,409668.0,2,31,0,부채 통합,단기 상환,188832.0,64353.0,12205.5,805,0
TRAIN_00018,월세,1268124.0,10년 이상,0.0,12,15.4,1290004.5,1,40,0,부채 통합,단기 상환,363013.5,510651.0,40687.5,758,1
TRAIN_00019,주택 담보 대출 (거주 중),3147556.5,2년,0.0,22,17.0,791769.0,0,3,0,사업 대출,장기 상환,662514.0,415540.5,24369.0,760,1
TRAIN_00020,주택 담보 대출 (거주 중),4861900.5,7년,0.0,10,39.2,5406213.0,0,12,0,주택 개보수,장기 상환,684924.0,146569.5,50541.0,736,0
TRAIN_00021,주택 담보 대출 (거주 중),1469878.5,8년,0.0,12,17.8,135906.0,6,31,3,부채 통합,장기 상환,879040.5,145282.5,52614.0,682,1
TRAIN_00022,주택 담보 대출 (거주 중),3108426.0,10년 이상,0.0,6,26.1,340866.0,0,11,0,기타,단기 상환,191661.0,277110.0,20904.0,542,0
TRAIN_00023,주택 담보 대출 (거주 중),2765965.5,10년 이상,0.0,7,27.7,586482.0,1,41,1,주택 개보수,단기 상환,927499.5,228270.0,45687.0,662,0
TRAIN_00024,자가,1841196.0,6년,0.0,14,15.7,1615672.5,0,26,0,부채 통합,단기 상환,465994.5,457314.0,35797.5,798,1
TRAIN_00025,월세,1498830.0,1년 미만,0.0,14,30.5,555916.5,1,29,3,부채 통합,단기 상환,330313.5,389448.0,26952.0,675,1
TRAIN_00026,주택 담보 대출 (거주 중),1402951.5,3년,0.0,6,12.6,536979.0,0,15,0,여행 자금,단기 상환,158463.0,131706.0,6631.5,749,0
TRAIN_00027,주택 담보 대출 (거주 중),3061012.5,10년 이상,0.0,19,31.4,4811965.5,0,8,0,부채 통합,장기 상환,966484.5,808713.0,34456.5,676,1
TRAIN_00028,월세,620713.5,8년,0.0,15,11.3,827161.5,0,7,0,부채 통합,단기 상환,500769.0,321009.0,1225.5,802,1
TRAIN_00029,주택 담보 대출 (거주 중),2208948.0,5년,1.0,21,15.5,1578754.5,2,26,0,부채 통합,단기 상환,1235440.5,177094.5,40174.5,809,0
TRAIN_00030,월세,1421496.0,6년,0.0,13,14.7,611347.5,0,33,3,사업 대출,단기 상환,392208.0,114340.5,30073.5,767,0
TRAIN_00031,월세,678066.0,10년 이상,0.0,15,17.6,413776.5,0,79,0,부채 통합,단기 상환,54282.0,136147.5,32385.0,751,0
TRAIN_00032,월세,1561882.5,2년,0.0,8,15.2,968310.0,0,37,0,부채 통합,단기 상환,314616.0,107520.0,8844.0,667,0
TRAIN_00033,월세,1807107.0,10년 이상,0.0,5,12.9,751255.5,1,28,1,부채 통합,단기 상환,542931.0,482127.0,23473.5,793,0
TRAIN_00034,월세,1614009.0,8년,0.0,8,16.6,527086.5,0,17,0,기타,단기 상환,242439.0,201213.0,6954.0,718,0
TRAIN_00035,월세,702837.0,10년 이상,0.0,6,12.8,340593.0,0,11,0,부채 통합,장기 상환,545044.5,166953.0,9172.5,662,1
TRAIN_00036,월세,512983.5,8년,0.0,11,9.9,787032.0,1,53,0,부채 통합,단기 상환,298693.5,245877.0,23712.0,785,1
TRAIN_00037,자가,2383923.0,10년 이상,0.0,10,30.5,3357504.0,0,26,0,부채 통합,단기 상환,143592.0,89298.0,8856.0,764,0
